task_language;rider_ml_message
"""fr""";"""Bonsoir ! Le conducteur n’a pas arrêté ma course et a voulu que je le paye en espèces en plus de mon paiement par carte! Puis m’a manqué de respect !!!!!! C’est inadmissible !!!!!!"""
"""es""";"""Buenas noches quería saber por qué es que me están cobrando más de lo que me cobraban antes ahora me cobran más 5 bs y eso que el auto está a 1 minuto de mi ubicación"""
"""en""";"""So have been try to reach out to people about my messing items but no response why"""
"""ro""";"""Bună , am pus achitarea cu cardul , pot schimba cash ?"""
"""ka""";"""გამარჯობა,"""
"""tr""";"""Paramın iadesini istiyorum"""
"""uz""";"""Assalomu alaykum"""
"""es""";"""Hola, buenos dias pedí un servicio transporte en moto, el monto para este viaje era de solo 8 bolivianos, y le pagué 88 por error al chófer, y me intente poner en contacto con este mismo, pero no me responde las llamadas, me sale que se encuentra apagado y no tiene WhatsApp instalado, su número es el siguiente:  +591 62133686"""
"""en""";"""The last showing on my history, I never took the ride. The app malfunctioned after initial usage and wouldn't respond and neither was the driver responsive on phone call. It is a bogus ride."""
"""es""";"""Hola vi que me cobraron este viaje y lo cancele porque el vehículo se malogró y no se podía mover"""
"""en""";"""Prices have gone extremely high suddenly, what's the reason"""
"""es""";"""He realizado un Yape directamente al último servicio de taxi realizado porque el sistema de Yango no le pago al taxista a tiempo. pero luego de pagarle al señor el servicio de Yango me ha cobrado debitando de mi cuenta el mismo importe y necesito el número del celular del señor taxista para llamarlo y decirle que verifique y me retorne lo que yo le había pagado. Es la segunda vez que me pasa esto que Yango no carga monto del Yape antes de que finalice el servicio y luego yo tengo que pagarle al conductor y después me hacen el cargo de mi cuenta Adjunto la evidencia del pago que yo le hice y luego lo que ustedes me debitaron"""
"""ka""";"""გამარჯობათ ახლობელს ტაქსში დარჩა ჩანთა და როგორ მოვიქცეთ"""
"""fr""";"""Ce conducteur et très impoli à quel moment on conducteur vas minimiser ma course pour mes demandes de prendre une moto très impolie ce monsieur"""
"""en""";"""Hi"""
"""en""";"""I just took ride to jubilee life, you can check that. Driver droped me off across the metro station. I asked him, atleast drop me in markaz. He said, go on your own and stopped the car. It took me 7 to 8 minutes to reach destination by foot in schorching sunshine. I got late for my interview."""
"""en""";"""Noticed during the weekend I couldn’t find an important document, checked everywhere but couldn’t find it so my last resort is to check with the driver of the car I was last seated. Unfortunately his number isn’t available on here anymore"""
"""hy""";"""Inchqan jamanak heto kveradarna qartin"""
"""es""";"""Hola"""
"""es""";"""Hola qué pena oye lo que pasa es que hoy me realizaste un servicio pero la app me descontó el monto y aparte te pagué a ti el mismo valor"""
"""he""";"""היא הגיע פשוט נסע על ביטל את ההזמנה, תודה על הקוד"""
"""en""";"""Forgot  my keys on Sunday …house keys"""
"""ro""";"""Buna, inca un taxist a facut la fel și pe mapa arata ca e pe loc dar nu era unde era indicat  si nu rs la telefon"""
"""tr""";"""Tesekkurler aydindir"""
"""en""";"""Hey You know what I think you should close your company"""
"""es""";"""Este señor me ha maltratado con sus palabras malcriadas y con sus insultos! Lleve dos maletas y dos bolsas de supermercado y me dijo que su carro no era carga y muchas cosas más, puede dar su opinión con respeto y si quiere que le pague más lo debe pedir con respeto tmbien"""
"""es""";"""Tipo de Servicio:: Viajes  Identificación del consumidor reclamante:: Persona Natural  Nombre:: Vladimir Ernesto Carrasco Arias   Domicilio:: Av.manco Cápac 1290 int.23  Tipo de Documento de Identidad:: DNI  Número de Documento: 40119373  Teléfono: 997258525  Correo Electrónico: vladimirernestocarrascoarias@gmail.com  ¿Eres mayor de edad?: Si  Tipo de solicitud:: Reclamo (Disconformidad relacionada con los productos o servicios)  Monto reclamado: 13  Detalle del Producto o Servicio: Taxi de Manco Cápac 1290 a Atahualpa hoy 5 de mayo 6:45  Detalle de la Reclamación o Queja: Pago doble al chófer  con Yape y descuento por yape.  Fecha de Envío: 2026-05-01"""
"""es""";"""Tipo de Servicio:: Viajes  Identificación del consumidor reclamante:: Persona Natural  Nombre:: Rosa Victoria nieto Mendoza   Domicilio:: Condominio Torres del campo  Tipo de Documento de Identidad:: DNI  Número de Documento: 45558934  Teléfono: 976520225  Correo Electrónico: rositanietomen@gmail.com  ¿Eres mayor de edad?: Si  Tipo de solicitud:: Reclamo (Disconformidad relacionada con los productos o servicios)  Monto reclamado: 0.70  Detalle del Producto o Servicio: El conductor aceptó el viaje, paso de frente del punto de recojo y preguntó si era pago en efectivo, le respondí y siguió avanzando. Y se alejó más sin dar respuesta.   Detalle de la Reclamación o Queja: Es una falta de respeto, se espera en lugar, acepta, no llega y menos respondo y aún cobra.   Fecha de Envío: 2026-05-02"""
"""en""";"""I wanted to report this rider because of his fast driving. He was driving carelessly as well, there was a lot of traffic and I was scared if I was even going to make it on time or whatsoever. Really disappointed."""
"""ka""";"""გამარჯობა არ მოვიდა ტაქსი არც ტელეფონზე მპასუხობდა მოლოდინიც ჩამირთი და თანხქც ჩამომჭრა"""
"""fr""";"""Bjr Mr j'ai oublié mes chaussures dans votre voiture le Dimanche 26 Avril à 15 h. Ma fille vous avait contacté vous avez dit que vous étiez à Yopougon et que quand vous seriez dans la zone de Cocody,vous la recontacterai"""
"""uz""";"""Nimaga olomimiza"""
"""fr""";"""Le conducteur est très bien je le recommande vivement,"""
"""uz""";"""Salom"""
"""es""";"""Queja"""
"""hy""";"""Barev dzez"""
"""es""";"""Se me realizó un cobro extra fuera de la tarifa que yo acepté pagar"""
"""uz""";"""Xech qanaqa qarzim yoq naqt 12 000 toladim"""
"""es""";"""Mil gracias"""
"""uz""";"""Ракамга тел килиб булмаябдику канакадир кушимча ракам сурепти"""
"""es""";"""Una de las asistentes de la empresa yango servicio de atención al cliente me dijo que el cálculo de un viaje es por dos pasajeros así sea uno pero el tercero ya lo puedo negociar yo mismo!  Entonces cuando yo les digo eso a los clientes el cliente piensa que yo le estoy pidiendo dinero de más cuando yo les explico que la empresa yango dice eso que solamente está calculado para dos personas cuando son tres  ya se negocia conmigo!! Por favor Yo creo que está viendo malos entendidos y piensan que yo estoy pidiendo dinero por favor podría solucionar esto porque tengo miedo de que me cierren la cuenta por personas que de verdad no entienden que el trabajo es así Buenas tardes.  Estoy también le hice presente. A mí socia lizzo La segunda vez que me viene esto !!"""
"""en""";"""Hello I’m on a ride now and the driver is rude."""
"""uz""";"""Haydovchi buyurtmani bekor qilishni so‘radi, mashinaga chiqqanimda tushirib yuborib. Lekin mendam pul yechildi. Men buyurtmani o‘zim bekor qilmadim"""
"""es""";"""Pero él tendría que pagar algo o ed totalmente gratis"""
"""uz""";"""Салом"""
"""pt""";"""Olá"""
"""ur""";"""Salaam alaikum aap ka driver rate kam aane ki vajah se ride chhod Kar Chala Gaya"""
"""es""";"""Buenos días"""
"""uz""";"""Nma sababdan 30.000 ming pul yecib olinfi"""
"""uz""";"""Mening kartamdan ham pul yechilgan, ustiga-ustak men taksiga ham pul to‘ladim."""
"""ka""";"""გარჯობა.ტაქსი არ მოვიდა სწორ მისამართზე და ტელეფინსაც არ უპასუხა..დავრეკე მივწერე და არ მიპასუხა…. ველოდე და მერე გავაუქმე"""
"""ro""";"""Добрый вечер. Что за водитель это? Обращается к девушке 20 лет: puişor, scumpa, văd că nu ai dispoziție…. Что за фамильярности и домогательства? Проверьте пожалуйста этого водителя."""
"""en""";"""Driver not professional him go other road"""
"""fr""";"""Bonjour M Le chauffeur a exigé que je paie la course plus cher que ce qui est indiqué sur mon récapitulatif."""
"""uz""";"""menga yordam berishingizizni haydovchi raqaminj topib beriwingizni sorayman[created via e-mail received from: maftunanasritdinova1902@gmail.com]"""
"""es""";"""Disculpe,  ambos viajes aceptan y luego piden q cancele Siempre hacen lo mismo"""
"""es""";"""Hola necesito contactarme con un agente"""
"""en""";"""can u please share rider number of my last ride the rider didn't reach at pick up location i am waiting"""
"""en""";"""Hello"""
"""en""";"""The driver refused to pick me up because I had luggage. Since the refusal was entirely on the driver's side, he should have cancelled the trip himself. However, he insisted that I cancel it so that I would be charged the cancellation fee instead of him being penalized. I was forced to cancel the ride under his pressure, and I believe the cancellation fee charged to me is unfair. I request a full refund of the cancellation fee and ask you to investigate this driver's behavior. Thank you for your assistance."""
"""uz""";"""Nimaga takse kelib ketib qoldi"""
"""uz""";"""8.500 yo’lga 10 ming so’m olib ketvordi taksilaring qo’pol va umuman oldida mayda pul olib yurmaydi"""
"""az""";"""Salam. Surucu karta razi olmadi. Gedishi mensiz bashladi. Gedish bash tutmadi, odenishi geri qaytarardiz."""
"""uz""";"""Agar haydovchi joyidan qimirlab aytilgan vaqtda kelganida men buyurtmani bekor qilmasdim"""
"""en""";"""This driver never arrived at my location and he started the ride But I was still charged"""
"""uz""";"""Menda karta tranzaksiyalar tarixida pul yechilganligini koʻrsatmoqda"""
"""es""";"""Hola buenas noches el Picap me cobró dos veces"""
"""uz""";"""Assalomu aleykum. Ushbu taksi bugun 13 minglik yolga 15 ming olib qaytim yoq rdi dedi va gapirib keldi yol boyi menga"""
"""es""";"""me agredió físicamente el taxista me dio golpes en la cara, ya puse la denuncia, su dni es 48087933"""
"""es""";"""Buenas tardes"""
"""es""";"""Hola, te saluda Gonzalo Carreño,  Head B2B Yango Peru.  Este conductor inicio el viaje sin mi y no lo quiere cancelar. Por favor cancelarlo y hacer la devolución del cobro que fue por tarjeta"""
"""es""";"""Disculpe se me extravió una billetera en el taxi"""
"""uz""";"""Nihoyat ortiqcha pul yechilgani boʻyicha bankdan maʼlumotnoma oldim"""
"""pt""";"""Bom dia quero expor o seguinte segunda feira um dos vossos carros suzuky alto cinzento matricula  lda-09-50-ak conduzida c o sr Manuel tirou-m do condominio para o siac talatona esqueci-me a cx dos meus auriculares desde segunda feira q o sr n me consegue entregar."""
"""uz""";"""Assalomu alaykum ushbu taksi egasi man chaqirgan nuqtadan boshqa yo'nalishga ketib qoldi. Man ancha vaqt kutdim, kech qolayotgandim bu taksi haydovchisi mani vaqtimni o'g'irladi. Telefon qilsam buyurtmani bekor qilishimni so'radi. Man buyurtmani bekor qildim keyingi taksida 56.000 da ketyapman, buyurtmani bekor qilgan taksida 48.000 edi. 8.000 so'm zarariga ketyapman. Iltimos mani zararimni qoplab beringlar"""
"""hy""";"""Sxalmamb patvirel eyi varorde hasel er tex heto plannere poxvecin varoedin aseq knereq"""
"""he""";"""היי הזמנתי מונית אתמול והנהג לא אישר ואחרכך החליט שמאשר כנראה והתקשר מיליון פעמים והטריד אותי ושלח הודעה של קללות אני רוצה להתלונן"""
"""az""";"""Təşəkkür edirəm, yenə də sürücünü sifarişləri çıxma imkanını əlindən almmamğınız xahiş olunur və tələb olunur"""
